Month,Borough,SaleVol
2019-06,City of London,15
2019-07,City of London,13
2019-08,City of London,16
2019-09,City of London,11
2019-10,City of London,4
2019-11,City of London,4
2019-12,City of London,10
2020-01,City of London,7
2020-02,City of London,18
2020-03,City of London,15
2020-06,City of London,5
2020-07,City of London,5
2020-08,City of London,3
2020-09,City of London,4
2019-06,Barking & Dagenham,125
2019-07,Barking & Dagenham,178
2019-08,Barking & Dagenham,185
2019-09,Barking & Dagenham,136
2019-10,Barking & Dagenham,135
2019-11,Barking & Dagenham,139
2019-12,Barking & Dagenham,105
2020-01,Barking & Dagenham,127
2020-02,Barking & Dagenham,128
2020-03,Barking & Dagenham,95
2020-06,Barking & Dagenham,47
2020-07,Barking & Dagenham,46
2020-08,Barking & Dagenham,91
2020-09,Barking & Dagenham,79
2019-06,Barnet,388
2019-07,Barnet,324
2019-08,Barnet,366
2019-09,Barnet,268
2019-10,Barnet,285
2019-11,Barnet,290
2019-12,Barnet,232
2020-01,Barnet,231
2020-02,Barnet,249
2020-03,Barnet,251
2020-06,Barnet,104
2020-07,Barnet,66
2020-08,Barnet,158
2020-09,Barnet,194
2019-06,Bexley,241
2019-07,Bexley,271
2019-08,Bexley,300
2019-09,Bexley,268
2019-10,Bexley,267
2019-11,Bexley,262
2019-12,Bexley,221
2020-01,Bexley,202
2020-02,Bexley,251
2020-03,Bexley,256
2020-06,Bexley,96
2020-07,Bexley,96
2020-08,Bexley,174
2020-09,Bexley,191
2019-06,Brent,106
2019-07,Brent,144
2019-08,Brent,135
2019-09,Brent,139
2019-10,Brent,136
2019-11,Brent,242
2019-12,Brent,126
2020-01,Brent,137
2020-02,Brent,127
2020-03,Brent,131
2020-06,Brent,49
2020-07,Brent,55
2020-08,Brent,64
2020-09,Brent,105
2019-06,Bromley,346
2019-07,Bromley,490
2019-08,Bromley,470
2019-09,Bromley,371
2019-10,Bromley,435
2019-11,Bromley,402
2019-12,Bromley,348
2020-01,Bromley,368
2020-02,Bromley,353
2020-03,Bromley,366
2020-06,Bromley,127
2020-07,Bromley,152
2020-08,Bromley,246
2020-09,Bromley,319
2019-06,Camden,153
2019-07,Camden,166
2019-08,Camden,124
2019-09,Camden,128
2019-10,Camden,137
2019-11,Camden,128
2019-12,Camden,116
2020-01,Camden,167
2020-02,Camden,141
2020-03,Camden,146
2020-06,Camden,85
2020-07,Camden,58
2020-08,Camden,73
2020-09,Camden,127
2019-06,Croydon,328
2019-07,Croydon,395
2019-08,Croydon,377
2019-09,Croydon,339
2019-10,Croydon,388
2019-11,Croydon,336
2019-12,Croydon,303
2020-01,Croydon,297
2020-02,Croydon,297
2020-03,Croydon,285
2020-06,Croydon,121
2020-07,Croydon,119
2020-08,Croydon,197
2020-09,Croydon,271
2019-06,Ealing,215
2019-07,Ealing,242
2019-08,Ealing,289
2019-09,Ealing,238
2019-10,Ealing,219
2019-11,Ealing,184
2019-12,Ealing,147
2020-01,Ealing,213
2020-02,Ealing,202
2020-03,Ealing,244
2020-06,Ealing,106
2020-07,Ealing,91
2020-08,Ealing,125
2020-09,Ealing,121
2019-06,Enfield,213
2019-07,Enfield,226
2019-08,Enfield,257
2019-09,Enfield,227
2019-10,Enfield,237
2019-11,Enfield,237
2019-12,Enfield,185
2020-01,Enfield,173
2020-02,Enfield,184
2020-03,Enfield,167
2020-06,Enfield,89
2020-07,Enfield,71
2020-08,Enfield,148
2020-09,Enfield,155
2019-06,Greenwich,215
2019-07,Greenwich,289
2019-08,Greenwich,333
2019-09,Greenwich,303
2019-10,Greenwich,266
2019-11,Greenwich,271
2019-12,Greenwich,249
2020-01,Greenwich,203
2020-02,Greenwich,244
2020-03,Greenwich,215
2020-06,Greenwich,103
2020-07,Greenwich,72
2020-08,Greenwich,110
2020-09,Greenwich,151
2019-06,Hackney,114
2019-07,Hackney,342
2019-08,Hackney,219
2019-09,Hackney,152
2019-10,Hackney,178
2019-11,Hackney,182
2019-12,Hackney,249
2020-01,Hackney,168
2020-02,Hackney,160
2020-03,Hackney,131
2020-06,Hackney,60
2020-07,Hackney,56
2020-08,Hackney,91
2020-09,Hackney,113
2019-06,Hammersmith & Fulham,128
2019-07,Hammersmith & Fulham,189
2019-08,Hammersmith & Fulham,184
2019-09,Hammersmith & Fulham,149
2019-10,Hammersmith & Fulham,195
2019-11,Hammersmith & Fulham,152
2019-12,Hammersmith & Fulham,137
2020-01,Hammersmith & Fulham,173
2020-02,Hammersmith & Fulham,143
2020-03,Hammersmith & Fulham,177
2020-06,Hammersmith & Fulham,99
2020-07,Hammersmith & Fulham,79
2020-08,Hammersmith & Fulham,72
2020-09,Hammersmith & Fulham,116
2019-06,Haringey,148
2019-07,Haringey,189
2019-08,Haringey,196
2019-09,Haringey,167
2019-10,Haringey,147
2019-11,Haringey,156
2019-12,Haringey,156
2020-01,Haringey,143
2020-02,Haringey,111
2020-03,Haringey,145
2020-06,Haringey,71
2020-07,Haringey,66
2020-08,Haringey,86
2020-09,Haringey,100
2019-06,Harrow,202
2019-07,Harrow,180
2019-08,Harrow,208
2019-09,Harrow,184
2019-10,Harrow,175
2019-11,Harrow,200
2019-12,Harrow,166
2020-01,Harrow,179
2020-02,Harrow,150
2020-03,Harrow,145
2020-06,Harrow,62
2020-07,Harrow,57
2020-08,Harrow,94
2020-09,Harrow,104
2019-06,Havering,253
2019-07,Havering,285
2019-08,Havering,312
2019-09,Havering,275
2019-10,Havering,285
2019-11,Havering,313
2019-12,Havering,249
2020-01,Havering,258
2020-02,Havering,265
2020-03,Havering,268
2020-06,Havering,124
2020-07,Havering,137
2020-08,Havering,194
2020-09,Havering,196
2019-06,Hillingdon,296
2019-07,Hillingdon,228
2019-08,Hillingdon,266
2019-09,Hillingdon,251
2019-10,Hillingdon,281
2019-11,Hillingdon,239
2019-12,Hillingdon,217
2020-01,Hillingdon,240
2020-02,Hillingdon,212
2020-03,Hillingdon,191
2020-06,Hillingdon,86
2020-07,Hillingdon,96
2020-08,Hillingdon,121
2020-09,Hillingdon,171
2019-06,Hounslow,146
2019-07,Hounslow,136
2019-08,Hounslow,192
2019-09,Hounslow,159
2019-10,Hounslow,214
2019-11,Hounslow,184
2019-12,Hounslow,165
2020-01,Hounslow,172
2020-02,Hounslow,152
2020-03,Hounslow,171
2020-06,Hounslow,81
2020-07,Hounslow,60
2020-08,Hounslow,84
2020-09,Hounslow,123
2019-06,Islington,173
2019-07,Islington,184
2019-08,Islington,173
2019-09,Islington,126
2019-10,Islington,160
2019-11,Islington,142
2019-12,Islington,109
2020-01,Islington,116
2020-02,Islington,159
2020-03,Islington,224
2020-06,Islington,73
2020-07,Islington,62
2020-08,Islington,62
2020-09,Islington,94
2019-06,Kensington & Chelsea,115
2019-07,Kensington & Chelsea,137
2019-08,Kensington & Chelsea,129
2019-09,Kensington & Chelsea,110
2019-10,Kensington & Chelsea,108
2019-11,Kensington & Chelsea,109
2019-12,Kensington & Chelsea,113
2020-01,Kensington & Chelsea,146
2020-02,Kensington & Chelsea,95
2020-03,Kensington & Chelsea,138
2020-06,Kensington & Chelsea,83
2020-07,Kensington & Chelsea,60
2020-08,Kensington & Chelsea,65
2020-09,Kensington & Chelsea,102
2019-06,Kingston upon Thames,161
2019-07,Kingston upon Thames,211
2019-08,Kingston upon Thames,212
2019-09,Kingston upon Thames,156
2019-10,Kingston upon Thames,202
2019-11,Kingston upon Thames,192
2019-12,Kingston upon Thames,162
2020-01,Kingston upon Thames,137
2020-02,Kingston upon Thames,151
2020-03,Kingston upon Thames,155
2020-06,Kingston upon Thames,71
2020-07,Kingston upon Thames,50
2020-08,Kingston upon Thames,85
2020-09,Kingston upon Thames,130
2019-06,Lambeth,311
2019-07,Lambeth,331
2019-08,Lambeth,327
2019-09,Lambeth,280
2019-10,Lambeth,248
2019-11,Lambeth,253
2019-12,Lambeth,243
2020-01,Lambeth,205
2020-02,Lambeth,254
2020-03,Lambeth,253
2020-06,Lambeth,127
2020-07,Lambeth,117
2020-08,Lambeth,151
2020-09,Lambeth,177
2019-06,Lewisham,241
2019-07,Lewisham,302
2019-08,Lewisham,322
2019-09,Lewisham,273
2019-10,Lewisham,252
2019-11,Lewisham,273
2019-12,Lewisham,199
2020-01,Lewisham,221
2020-02,Lewisham,224
2020-03,Lewisham,219
2020-06,Lewisham,88
2020-07,Lewisham,109
2020-08,Lewisham,150
2020-09,Lewisham,192
2019-06,Merton,162
2019-07,Merton,211
2019-08,Merton,224
2019-09,Merton,153
2019-10,Merton,221
2019-11,Merton,176
2019-12,Merton,142
2020-01,Merton,175
2020-02,Merton,130
2020-03,Merton,161
2020-06,Merton,70
2020-07,Merton,64
2020-08,Merton,119
2020-09,Merton,132
2019-06,Newham,217
2019-07,Newham,216
2019-08,Newham,165
2019-09,Newham,168
2019-10,Newham,169
2019-11,Newham,176
2019-12,Newham,112
2020-01,Newham,129
2020-02,Newham,112
2020-03,Newham,125
2020-06,Newham,59
2020-07,Newham,64
2020-08,Newham,73
2020-09,Newham,83
2019-06,Redbridge,163
2019-07,Redbridge,188
2019-08,Redbridge,265
2019-09,Redbridge,241
2019-10,Redbridge,260
2019-11,Redbridge,199
2019-12,Redbridge,175
2020-01,Redbridge,182
2020-02,Redbridge,194
2020-03,Redbridge,165
2020-06,Redbridge,73
2020-07,Redbridge,70
2020-08,Redbridge,141
2020-09,Redbridge,168
2019-06,Richmond upon Thames,192
2019-07,Richmond upon Thames,244
2019-08,Richmond upon Thames,262
2019-09,Richmond upon Thames,212
2019-10,Richmond upon Thames,218
2019-11,Richmond upon Thames,240
2019-12,Richmond upon Thames,195
2020-01,Richmond upon Thames,201
2020-02,Richmond upon Thames,189
2020-03,Richmond upon Thames,180
2020-06,Richmond upon Thames,79
2020-07,Richmond upon Thames,79
2020-08,Richmond upon Thames,107
2020-09,Richmond upon Thames,185
2019-06,Southwark,263
2019-07,Southwark,256
2019-08,Southwark,292
2019-09,Southwark,317
2019-10,Southwark,311
2019-11,Southwark,233
2019-12,Southwark,212
2020-01,Southwark,171
2020-02,Southwark,153
2020-03,Southwark,189
